,GEOID,new_district
212,1400000US05041950300,4.0
213,1400000US05041950400,4.0
214,1400000US05041950500,4.0
215,1400000US05043490100,4.0
216,1400000US05043490200,4.0
217,1400000US05043490300,4.0
218,1400000US05043490400,4.0
219,1400000US05043490500,4.0
220,1400000US05045030101,2.0
221,1400000US05045030102,2.0
222,1400000US05045030103,2.0
223,1400000US05045030104,2.0
224,1400000US05045030201,2.0
225,1400000US05045030202,2.0
226,1400000US05045030301,2.0
227,1400000US05045030302,2.0
228,1400000US05045030303,2.0
229,1400000US05045030401,2.0
230,1400000US05045030402,2.0
231,1400000US05045030403,2.0
232,1400000US05045030404,2.0
233,1400000US05045030502,2.0
234,1400000US05045030503,2.0
235,1400000US05045030504,2.0
236,1400000US05045030600,2.0
237,1400000US05045030701,2.0
238,1400000US05045030702,2.0
239,1400000US05045030800,2.0
240,1400000US05045030900,2.0
241,1400000US05045031001,2.0
242,1400000US05045031003,2.0
243,1400000US05045031006,2.0
244,1400000US05045031007,2.0
245,1400000US05045031008,2.0
246,1400000US05045031101,2.0
247,1400000US05045031102,2.0
248,1400000US05047950100,3.0
249,1400000US05047950201,3.0
250,1400000US05047950202,3.0
251,1400000US05047950301,3.0
252,1400000US05047950302,3.0
253,1400000US05049550101,1.0
254,1400000US05049550102,1.0
255,1400000US05049550201,1.0
256,1400000US05049550202,1.0
257,1400000US05051010301,4.0
258,1400000US05051010302,4.0
259,1400000US05051010401,4.0
260,1400000US05051010402,4.0
261,1400000US05051010501,4.0
262,1400000US05051010502,4.0
263,1400000US05051010601,4.0
264,1400000US05051010602,4.0
265,1400000US05051010700,4.0
266,1400000US05051010800,4.0
267,1400000US05051010900,4.0
268,1400000US05051011001,4.0
269,1400000US05051011002,4.0
270,1400000US05051011101,4.0
271,1400000US05051011102,4.0
272,1400000US05051011201,4.0
273,1400000US05051011202,4.0
274,1400000US05051011300,4.0
275,1400000US05051011400,4.0
276,1400000US05051011500,4.0
277,1400000US05051011601,4.0
278,1400000US05051011602,4.0
279,1400000US05051011701,4.0
280,1400000US05051011702,4.0
281,1400000US05051011801,4.0
282,1400000US05051011802,4.0
283,1400000US05051011901,4.0
284,1400000US05051011902,4.0
285,1400000US05051012001,4.0
286,1400000US05051012002,4.0
287,1400000US05053470100,2.0
288,1400000US05053470200,2.0
289,1400000US05053470300,2.0
290,1400000US05053470401,2.0
291,1400000US05053470402,2.0
292,1400000US05055480100,1.0
293,1400000US05055480200,1.0
294,1400000US05055480300,1.0
295,1400000US05055480401,1.0
296,1400000US05055480402,1.0
297,1400000US05055480501,1.0
298,1400000US05055480502,1.0
299,1400000US05055480601,1.0
300,1400000US05055480602,1.0
301,1400000US05055480700,1.0
302,1400000US05055480801,1.0
303,1400000US05055480802,1.0
304,1400000US05057480101,4.0
305,1400000US05057480102,4.0
306,1400000US05057480200,4.0
307,1400000US05057480301,4.0
308,1400000US05057480302,4.0
309,1400000US05057480400,4.0
310,1400000US05057480500,4.0
311,1400000US05059020101,4.0
312,1400000US05059020102,4.0
313,1400000US05059020200,4.0
314,1400000US05059020300,4.0
315,1400000US05059020400,4.0
316,1400000US05059020500,4.0
317,1400000US05059020600,4.0
318,1400000US05059020701,4.0
319,1400000US05059020702,4.0
320,1400000US05061950100,4.0
321,1400000US05061950200,4.0
322,1400000US05061950300,4.0
323,1400000US05063490101,1.0
324,1400000US05063490102,1.0
325,1400000US05063490200,1.0
326,1400000US05063490300,1.0
327,1400000US05063490400,1.0
328,1400000US05063490500,1.0
329,1400000US05063490600,1.0
330,1400000US05063490701,1.0
331,1400000US05063490702,1.0
332,1400000US05063490800,1.0
333,1400000US05065960100,1.0
334,1400000US05065960200,1.0
335,1400000US05065960300,1.0
336,1400000US05065960400,1.0
337,1400000US05067480100,1.0
338,1400000US05067480200,1.0
339,1400000US05067480300,1.0
340,1400000US05067480401,1.0
341,1400000US05067480402,1.0
342,1400000US05067480500,1.0
343,1400000US05069000102,4.0
344,1400000US05069000301,4.0
345,1400000US05069000302,4.0
346,1400000US05069000303,4.0
347,1400000US05069000502,4.0
348,1400000US05069000900,4.0
349,1400000US05069001000,4.0
350,1400000US05069001200,4.0
351,1400000US05069001300,4.0
352,1400000US05069001401,4.0
353,1400000US05069001402,4.0
354,1400000US05069001501,4.0
355,1400000US05069001502,4.0
356,1400000US05069001600,4.0
357,1400000US05069001700,4.0
358,1400000US05069001800,4.0
359,1400000US05069001901,4.0
360,1400000US05069001903,4.0
361,1400000US05069002000,4.0
362,1400000US05069002103,4.0
363,1400000US05069002104,4.0
364,1400000US05069002300,4.0
365,1400000US05069002400,4.0
366,1400000US05069002500,4.0
367,1400000US05071951700,1.0
368,1400000US05071951800,1.0
369,1400000US05071951900,1.0
370,1400000US05071952000,1.0
371,1400000US05071952100,1.0
372,1400000US05071952200,1.0
373,1400000US05073470101,4.0
374,1400000US05073470102,4.0
375,1400000US05073470200,4.0
376,1400000US05075470100,1.0
377,1400000US05075470200,1.0
378,1400000US05075470300,1.0
379,1400000US05075470400,1.0
